,cum_power,Elec_kW,Gas_mxm
2011-10-26,0.1,15.1,9.0
2011-10-27,10.2,7.4,9.2
2011-10-28,20.2,5.8,8.0
2011-10-29,29.6,4.9,6.6
2011-10-30,34.2,11.7,5.3
2011-10-31,38.0,11.0,5.7
2011-11-01,46.6,3.5,5.3
2011-11-02,51.6,10.5,5.4
2011-11-03,58.6,6.9,7.6
2011-11-04,60.5,10.3,5.5
2011-11-05,65.7,12.0,5.2
2011-11-06,71.8,11.9,4.8
2011-11-07,73.3,16.7,5.3
2011-11-08,73.8,11.1,7.3
2011-11-09,76.1,13.0,8.3
2011-11-10,82.5,7.6,7.2
2011-11-11,89.1,8.9,10.5
2011-11-12,95.5,12.9,10.2
2011-11-13,99.9,10.7,10.7
2011-11-14,101.4,10.2,9.9
2011-11-15,109.1,7.2,11.4
2011-11-16,116.0,9.4,13.6
2011-11-17,122.3,10.1,16.1
2011-11-18,124.3,14.6,12.8
2011-11-19,130.5,8.4,10.3
2011-11-20,136.5,12.2,12.6
2011-11-21,142.5,17.7,12.8
2011-11-22,145.0,11.5,13.4
2011-11-23,148.3,13.5,11.9
2011-11-24,149.8,13.0,9.7
2011-11-25,151.7,17.8,12.6
2011-11-26,152.4,16.9,11.3
2011-11-27,156.1,12.6,12.6
2011-11-28,157.4,14.5,12.5
2011-11-29,163.9,9.1,10.7
2011-11-30,165.3,17.0,13.4
2011-12-01,170.7,9.9,11.0
2011-12-02,172.1,16.9,10.6
2011-12-03,174.7,14.1,14.4
2011-12-04,175.3,18.7,12.7
2011-12-05,176.3,15.6,10.7
2011-12-06,178.8,8.5,15.0
2011-12-07,180.5,16.0,15.7
2011-12-08,182.0,13.9,15.4
2011-12-09,183.6,15.6,15.4
2011-12-10,188.4,11.5,15.2
2011-12-11,192.6,14.4,15.4
2011-12-12,195.0,12.0,15.5
2011-12-13,197.8,13.7,14.2
2011-12-14,199.1,15.2,13.7
2011-12-15,200.1,19.5,16.2
2011-12-16,201.6,14.1,15.8
2011-12-17,201.8,17.0,17.3
2011-12-18,205.4,17.0,17.8
2011-12-19,209.7,16.6,16.0
2011-12-20,211.6,15.5,20.1
2011-12-21,214.4,12.4,14.4
2011-12-22,215.3,17.5,14.2
2011-12-23,216.2,18.4,12.9
2011-12-24,217.4,14.3,11.1
2011-12-25,219.7,10.9,12.4
2011-12-26,220.3,14.2,14.1
2011-12-27,220.7,14.6,11.5
2011-12-28,221.2,17.0,11.4
2011-12-29,221.7,9.3,12.7
2011-12-30,222.6,15.3,15.4
2011-12-31,226.2,11.5,15.2
2012-01-01,226.7,16.0,13.6
2012-01-02,227.5,18.8,10.6
2012-01-03,230.4,15.5,11.7
2012-01-04,231.2,19.3,19.3
2012-01-05,233.9,6.9,10.6
2012-01-06,235.5,16.1,14.9
2012-01-07,236.5,14.9,15.4
2012-01-08,240.6,15.1,14.6
2012-01-09,245.8,13.2,13.5
2012-01-10,246.8,10.9,11.8
2012-01-11,248.3,11.1,11.1
2012-01-12,249.9,13.6,11.4
2012-01-13,251.3,14.8,14.0
2012-01-14,254.7,13.1,13.5
2012-01-15,258.1,13.6,14.7
2012-01-16,263.5,7.7,16.0
2012-01-17,269.4,10.9,16.6
2012-01-18,274.8,7.3,18.3
2012-01-19,276.5,15.7,17.3
2012-01-20,277.3,18.3,17.1
2012-01-21,278.1,15.5,14.5
2012-01-22,278.9,19.7,14.7
2012-01-23,282.8,12.3,15.5
2012-01-24,286.1,10.5,13.6
2012-01-25,288.2,15.3,15.8
2012-01-26,289.6,11.7,13.5
2012-01-27,290.7,16.7,14.7
2012-01-28,297.0,7.7,13.7
2012-01-29,300.3,18.1,15.6
2012-01-30,301.6,17.4,17.9
2012-01-31,301.8,16.0,21.8
2012-02-01,307.4,8.9,19.2
2012-02-02,315.8,7.8,25.0
2012-02-03,324.3,7.6,28.0
2012-02-04,326.6,13.5,28.0
2012-02-05,334.2,15.8,26.0
2012-02-06,339.8,9.8,26.0
2012-02-07,348.4,7.6,25.0
2012-02-08,355.7,11.1,29.0
2012-02-09,363.6,9.0,25.0
2012-02-10,367.3,13.6,24.0
2012-02-11,376.9,8.1,27.0
2012-02-12,383.3,16.4,27.0
2012-02-13,385.9,18.0,25.0
2012-02-14,388.9,13.0,20.0
2012-02-15,393.6,11.0,16.0
2012-02-16,396.0,15.0,16.0
2012-02-17,399.6,15.0,15.0
2012-02-18,404.8,11.0,16.0
2012-02-19,406.3,16.0,16.0
2012-02-20,413.6,13.0,15.0
2012-02-21,424.3,3.0,16.0
2012-02-22,430.7,11.0,17.0
2012-02-23,436.9,10.0,17.0
2012-02-24,439.3,14.0,14.0
2012-02-25,441.6,13.0,12.0
2012-02-26,450.7,2.0,12.0
2012-02-27,453.3,15.0,14.0
2012-02-28,457.2,12.0,13.0
2012-02-29,458.7,15.0,12.0
2012-03-01,461.2,14.0,11.0
2012-03-02,463.5,13.0,10.0
2012-03-03,465.3,13.0,13.0
2012-03-04,471.4,14.0,9.0
2012-03-05,475.5,12.0,12.0
2012-03-06,477.1,14.0,13.0
2012-03-07,483.5,8.0,13.0
2012-03-08,485.8,11.0,16.0
2012-03-09,498.0,6.0,16.0
2012-03-10,504.1,10.0,13.0
2012-03-11,508.2,7.0,11.0
2012-03-12,524.3,-1.0,7.0
2012-03-13,538.0,-3.0,12.0
2012-03-14,541.5,11.0,9.0
2012-03-15,554.7,3.0,11.0
2012-03-16,571.9,-2.0,9.0
2012-03-17,587.6,-1.0,8.0
2012-03-18,592.5,5.0,11.0
2012-03-19,601.5,9.0,16.0
2012-03-20,619.3,-3.0,12.0
2012-03-21,632.5,-1.0,10.0
2012-03-22,650.8,-2.0,11.0
2012-03-23,668.5,-2.0,5.0
2012-03-24,686.2,-5.0,6.0
2012-03-25,703.3,-5.0,3.0
2012-03-26,723.5,-2.0,7.0
2012-03-27,742.8,-4.0,7.0
2012-03-28,760.7,-7.0,6.0
2012-03-29,780.1,-3.0,8.0
2012-03-30,794.3,1.0,7.0
2012-03-31,796.6,12.0,10.0
2012-04-01,804.2,9.0,11.0
2012-04-02,823.3,-4.0,19.0
2012-04-03,844.2,-5.0,9.0
2012-04-04,860.3,-1.0,9.0
2012-04-05,872.4,3.0,9.0
2012-04-06,878.2,3.0,10.0
2012-04-07,900.2,-7.0,10.0
2012-04-08,910.9,8.0,12.0
2012-04-09,922.1,6.0,12.0
2012-04-10,927.9,1.0,10.0
2012-04-11,933.1,11.0,10.0
2012-04-12,940.5,11.0,12.0
2012-04-13,953.9,3.0,11.0
2012-04-14,972.9,-6.0,19.0
2012-04-15,992.4,-3.0,20.0
2012-04-16,1001.1,8.0,11.0
2012-04-17,1021.3,-8.0,11.0
2012-04-18,1029.5,7.0,13.0
2012-04-19,1041.9,4.0,13.0
2012-04-20,1059.0,-3.0,11.0
2012-04-21,1072.4,10.0,11.0
2012-04-22,1086.1,2.0,11.0
2012-04-23,1103.4,-4.0,11.0
2012-04-24,1114.9,2.0,10.0
2012-04-25,1126.1,6.0,10.0
2012-04-26,1133.9,10.0,9.0
2012-04-27,1147.7,2.0,10.0
2012-04-28,1158.9,2.0,8.0
2012-04-29,1167.0,7.0,6.0
2012-04-30,1186.9,10.0,5.0
2012-05-01,1202.0,-8.0,5.0
2012-05-02,1222.9,-7.0,3.0
2012-05-03,1228.0,8.0,6.0
2012-05-04,1233.0,8.0,4.0
2012-05-05,1253.5,-7.0,6.0
2012-05-06,1258.9,12.0,5.0
2012-05-07,1270.9,5.0,8.0
2012-05-08,1292.2,-8.0,6.0
2012-05-09,1302.6,3.0,7.0
2012-05-10,1318.4,3.0,4.0
2012-05-11,1327.7,5.0,2.0
2012-05-12,1338.1,3.0,4.0
2012-05-13,1359.0,-7.0,5.0
2012-05-14,1381.3,-5.0,6.0
2012-05-15,1410.0,-15.0,5.0
2012-05-16,1421.5,-1.0,7.0
2012-05-17,1452.0,-17.0,8.0
2012-05-18,1469.0,-2.0,8.0
2012-05-19,1477.0,1.0,6.0
2012-05-20,1499.0,-9.0,2.0
2012-05-21,1518.0,-3.0,2.0
2012-05-22,1533.0,-6.0,2.0
2012-05-23,1561.9,-13.0,2.0
2012-05-24,1588.2,-14.0,1.0
2012-05-25,1607.5,-12.0,1.0
2012-05-26,1636.7,-20.0,1.0
2012-05-27,1665.0,-15.0,1.0
2012-05-28,1692.3,-11.0,1.0
2012-05-29,1721.6,-17.0,1.0
2012-05-30,1746.3,3.0,1.0
2012-05-31,1769.4,-10.0,1.0
2012-06-01,1782.5,-4.0,1.0
2012-06-02,1802.4,-10.0,1.0
2012-06-03,1825.9,-12.0,2.0
2012-06-04,1829.1,11.0,4.0
2012-06-05,1836.4,7.0,6.0
2012-06-06,1864.2,-5.0,6.0
2012-06-07,1881.1,-1.0,5.0
2012-06-08,1893.6,2.0,2.0
2012-06-09,1916.0,12.0,3.0
2012-06-10,1936.8,-4.0,4.0
2012-06-11,1948.9,-1.0,3.0
2012-06-12,1959.3,-1.0,3.0
2012-06-13,1968.7,3.0,4.0
2012-06-14,1981.3,3.0,5.0
2012-06-15,2007.3,-13.0,3.0
2012-06-16,2015.3,2.0,3.0
2012-06-17,2034.2,-3.0,3.0
2012-06-18,2056.7,-17.0,2.0
2012-06-19,2069.9,-1.0,3.0
2012-06-20,2090.4,-7.0,2.0
2012-06-21,2110.9,-5.0,2.0
2012-06-22,2122.7,-1.0,1.0
2012-06-23,2142.4,6.0,1.0
2012-06-24,2162.4,-6.0,3.0
2012-06-25,2173.1,5.0,3.0
2012-06-26,2195.7,-7.0,4.0
2012-06-27,2219.1,-10.0,2.0
2012-06-28,2228.8,3.0,1.0
2012-06-29,2251.2,-12.0,1.0
2012-06-30,2270.3,-9.0,1.0
2012-07-01,2294.4,-10.0,1.0
2012-07-02,2317.9,-13.0,1.0
2012-07-03,2343.5,-12.0,1.0
2012-07-04,2356.0,1.0,1.0
2012-07-05,2376.1,-8.0,1.0
2012-07-06,2391.1,-3.0,1.0
2012-07-07,2412.8,-11.0,1.0
2012-07-08,2430.5,-4.0,1.0
2012-07-09,2445.3,0.0,1.0
2012-07-10,2456.1,2.0,1.0
2012-07-11,2468.7,-2.0,2.0
2012-07-12,2484.0,-10.0,2.0
2012-07-13,2500.0,-15.0,2.0
2012-07-14,2515.0,-15.0,2.0
2012-07-15,2531.4,-10.0,2.0
2012-07-16,2545.5,1.0,5.0
2012-07-17,2552.8,7.0,5.0
2012-07-18,2563.4,5.0,4.0
2012-07-19,2582.8,-5.0,3.0
2012-07-20,2595.9,2.4,2.0
2012-07-21,2605.0,4.0,4.0
2012-07-22,2627.4,-8.0,3.0
2012-07-23,2653.4,-19.0,2.0
2012-07-24,2680.6,-15.0,1.0
2012-07-25,2707.3,-15.0,1.0
2012-07-26,2733.0,-12.0,0.0
2012-07-27,2756.0,-13.0,0.0
2012-07-28,2771.2,-4.0,0.0
2012-07-29,2783.7,0.0,0.0
2012-07-30,2801.7,-9.0,0.0
2012-07-31,2817.4,-6.0,0.0
2012-08-01,2825.8,7.0,3.0
2012-08-02,2840.6,0.0,2.0
2012-08-03,2858.7,-7.0,1.0
2012-08-04,2873.3,-1.0,1.0
2012-08-05,2888.9,-2.0,1.0
2012-08-06,2904.7,-4.0,1.0
2012-08-07,2918.8,-4.0,1.0
2012-08-08,2932.3,1.0,2.0
2012-08-09,2943.8,2.0,3.0
2012-08-10,2964.1,-6.0,2.0
2012-08-11,2990.1,-7.0,1.0
2012-08-12,3014.5,-8.0,0.0
2012-08-13,3040.6,-16.0,0.0
2012-08-14,3059.6,-6.0,0.0
2012-08-15,3072.4,-3.0,0.0
2012-08-16,3086.3,-5.0,0.0
2012-08-17,3100.6,-2.0,0.0
2012-08-18,3125.0,-12.0,4.0
2012-08-19,3147.2,-12.0,0.0
2012-08-20,3164.3,-7.0,0.0
2012-08-21,3174.7,0.0,0.0
2012-08-22,3190.5,-3.0,0.0
2012-08-23,3207.2,-5.0,0.0
2012-08-24,3229.2,-13.0,0.0
2012-08-25,3245.0,-2.0,0.0
2012-08-26,3256.5,2.0,2.0
2012-08-27,3270.1,4.0,1.0
2012-08-28,3286.8,-4.0,3.0
2012-08-29,3306.3,-3.0,2.0
2012-08-30,3325.5,-7.0,1.0
2012-08-31,3337.4,3.0,2.0
2012-09-01,3351.0,2.0,4.0
2012-09-02,3374.0,-13.0,3.0
2012-09-03,3389.6,1.0,2.0
2012-09-04,3407.6,-6.0,2.0
2012-09-05,3427.6,-8.0,2.0
2012-09-06,3445.6,-4.0,2.0
2012-09-07,3466.3,-8.0,2.0
2012-09-08,3487.1,-10.0,3.0
2012-09-09,3507.5,-11.0,2.0
2012-09-10,3528.3,-7.0,1.0
2012-09-11,3543.6,-3.0,1.0
2012-09-12,3553.0,2.0,2.0
2012-09-13,3566.5,2.0,3.0
2012-09-14,3576.3,5.0,5.0
2012-09-15,3582.1,10.0,6.0
2012-09-16,3597.6,2.0,3.0
2012-09-17,3613.6,-1.0,3.0
2012-09-18,3620.2,4.0,3.0
2012-09-19,3636.5,-2.0,4.0
2012-09-20,3650.5,2.0,6.0
2012-09-21,3662.8,0.0,6.0
2012-09-22,3672.0,8.0,6.0
2012-09-23,3689.6,-2.0,6.0
2012-09-24,3694.0,10.0,6.0
2012-09-25,3700.3,8.0,7.0
2012-09-26,3710.5,5.0,6.0
2012-09-27,3720.9,4.0,6.0
2012-09-28,3730.8,7.0,6.0
2012-09-29,3741.0,4.0,6.0
2012-09-30,3755.7,0.0,7.0
2012-10-01,3771.7,-7.0,6.0
2012-10-02,3781.2,4.0,7.0
2012-10-03,3788.8,7.0,4.0
2012-10-04,3792.4,11.0,8.0
2012-10-05,3806.7,2.0,6.0
2012-10-06,3810.9,10.0,6.0
2012-10-07,3814.4,12.0,7.0
2012-10-08,3826.6,5.0,7.0
2012-10-09,3835.0,6.0,9.0
2012-10-10,3840.7,9.0,10.0
2012-10-11,3851.8,5.0,8.0
2012-10-12,3862.0,5.0,7.0
2012-10-13,3870.2,7.0,11.0
2012-10-14,3872.3,14.0,10.0
2012-10-15,3877.7,16.0,10.0
2012-10-16,3885.3,8.0,9.0
2012-10-17,3894.8,8.0,10.0
2012-10-18,3899.2,12.0,6.0
2012-10-19,3902.3,14.0,4.0
2012-10-20,3906.9,7.0,4.0
2012-10-21,3910.1,7.0,6.0
2012-10-22,3915.6,9.0,3.0
2012-10-23,3925.2,5.0,4.0
2012-10-24,3933.4,6.0,5.0
2012-10-25,3942.1,7.0,5.0
2012-10-26,3943.6,11.0,11.0
2012-10-27,3945.6,11.0,14.0
2012-10-28,3954.8,7.0,12.0
2012-10-29,3964.1,5.0,10.0
2012-10-30,3965.9,4.0,12.0
2012-10-31,3970.2,11.0,12.0
2012-11-01,3979.1,8.0,12.0
2012-11-02,3983.2,12.0,12.0
2012-11-03,3987.2,10.0,14.0
2012-11-04,3993.8,11.0,12.0
2012-11-05,3998.3,12.0,13.0
2012-11-06,4001.2,14.0,13.0
2012-11-07,4005.5,10.0,13.0
2012-11-08,4008.6,13.0,11.0
2012-11-09,4011.2,13.0,10.0
2012-11-10,4014.9,13.0,10.0
2012-11-11,4015.9,10.0,10.0
2012-11-12,4020.2,20.0,10.0
2012-11-13,4022.1,16.0,12.0
2012-11-14,4023.9,13.0,11.0
2012-11-15,4031.1,9.0,13.0
2012-11-16,4032.9,12.0,14.0
2012-11-17,4036.6,16.0,13.0
2012-11-18,4037.6,21.0,15.0
2012-11-19,4039.3,16.0,13.0
2012-11-20,4041.2,15.0,14.0
2012-11-21,4045.5,13.0,12.0
2012-11-22,4047.4,19.0,13.0
2012-11-23,4053.3,10.0,13.0
2012-11-24,4054.1,19.0,13.0
2012-11-25,4055.0,21.0,12.0
2012-11-26,4059.0,16.0,11.0
2012-11-27,4061.3,11.0,11.0
2012-11-28,4063.1,15.0,13.0
2012-11-29,4066.7,14.0,15.0
2012-11-30,4069.2,15.0,13.0
2012-12-01,4072.0,13.0,17.0
2012-12-02,4074.6,19.0,16.0
2012-12-03,4077.6,15.0,15.0
2012-12-04,4078.0,19.0,18.0
2012-12-05,4079.8,14.0,18.0
2012-12-06,4080.6,15.0,18.0
2012-12-07,4082.1,16.0,20.0
2012-12-08,4083.8,16.0,21.0
2012-12-09,4088.7,13.0,19.0
2012-12-10,4089.0,20.0,16.0
2012-12-11,4090.4,14.0,17.0
2012-12-12,4095.6,14.0,21.0
2012-12-13,4100.4,13.0,21.0
2012-12-14,4103.3,16.0,19.0
2012-12-15,4104.1,20.0,16.0
2012-12-16,4105.5,17.0,13.0
2012-12-17,4106.8,17.0,13.0
2012-12-18,4107.8,16.0,13.0
2012-12-19,4109.1,18.0,15.0
2012-12-20,4111.2,15.0,13.0
2012-12-21,4111.8,20.0,17.0
2012-12-22,4113.1,17.0,14.0
2012-12-23,4113.3,24.0,13.0
2012-12-24,4113.6,19.0,11.0
2012-12-25,4115.5,18.0,11.0
2012-12-26,4117.7,19.0,11.0
2012-12-27,4119.2,18.0,13.0
2012-12-28,4120.6,16.0,13.0
2012-12-29,4121.6,17.0,13.0
2012-12-30,4124.5,18.0,12.0
2012-12-31,4126.9,16.0,5.0
2013-01-01,4128.0,21.0,13.0
2013-01-02,4130.7,19.0,12.0
2013-01-03,4133.1,17.0,14.0
2013-01-04,4133.7,18.0,13.0
2013-01-05,4134.1,18.0,11.0
2013-01-06,4134.3,20.0,11.0
2013-01-07,4135.4,14.0,11.0
2013-01-08,4135.8,17.0,13.0
2013-01-09,4136.7,15.0,14.0
2013-01-10,4136.9,16.0,14.0
2013-01-11,4139.6,17.0,15.0
2013-01-12,4141.7,17.0,19.0
2013-01-13,4145.9,17.0,19.0
2013-01-14,4151.1,15.0,21.0
2013-01-15,4153.4,16.0,23.0
2013-01-16,4153.4,18.0,23.0
2013-01-17,4154.6,18.0,25.0
2013-01-18,4155.4,16.0,25.0
2013-01-19,4157.6,10.0,21.0
2013-01-20,4158.8,23.0,24.0
2013-01-21,4158.9,20.0,24.0
2013-01-22,4158.9,20.0,23.0
2013-01-23,4162.1,14.0,21.0
2013-01-24,4167.0,12.0,24.0
2013-01-25,4171.8,16.0,23.0
2013-01-26,4174.6,17.0,24.0
2013-01-27,4175.2,21.0,24.0
2013-01-28,4177.3,17.0,19.0
2013-01-29,4181.9,13.0,20.0
2013-01-30,4182.7,17.0,15.0
2013-01-31,4188.0,12.0,12.0
2013-02-01,4191.0,14.0,8.0
2013-02-02,4191.8,16.0,20.0
2013-02-03,4197.9,13.0,20.0
2013-02-04,4200.6,17.0,16.0
2013-02-05,4205.6,11.0,15.0
2013-02-06,4211.6,11.0,18.0
2013-02-07,4216.3,15.0,19.0
2013-02-08,4221.3,11.0,18.0
2013-02-09,4227.0,11.0,19.0
2013-02-10,4231.2,19.0,19.0
2013-02-11,4239.3,12.0,19.0
2013-02-12,4242.0,12.0,22.0
2013-02-13,4244.5,15.0,23.0
2013-02-14,4252.4,11.0,20.0
2013-02-15,4253.4,16.0,22.0
2013-02-16,4259.6,12.0,18.0
2013-02-17,4261.6,18.0,15.0
2013-02-18,4265.0,18.0,15.0
2013-02-19,4274.8,5.0,16.0
2013-02-20,4279.3,13.0,18.0
2013-02-21,4287.9,13.0,20.0
2013-02-22,4292.5,15.0,21.0
2013-02-23,4295.6,16.0,25.0
2013-02-24,4299.8,20.0,24.0
2013-02-25,4301.6,17.0,21.0
2013-02-26,4303.3,19.0,19.0
2013-02-27,4309.4,15.0,14.0
2013-02-28,4310.5,17.0,21.0
2013-03-01,4313.2,16.0,19.0
2013-03-02,4315.8,18.0,19.0
2013-03-03,4321.4,16.0,18.0
2013-03-04,4327.5,16.0,17.0
2013-03-05,4341.7,6.0,15.0
2013-03-06,4352.3,10.0,13.0
2013-03-07,4364.8,7.0,11.0
2013-03-08,4370.8,10.0,11.0
2013-03-09,4377.2,12.0,10.0
2013-03-10,4378.5,20.0,13.0
2013-03-11,4380.2,18.0,17.0
2013-03-12,4382.6,14.0,23.0
2013-03-13,4390.5,9.0,26.0
2013-03-14,4401.1,7.0,22.0
2013-03-15,4412.3,6.0,21.0
2013-03-16,4419.0,13.0,21.0
2013-03-17,4426.8,13.0,18.0
2013-03-18,4433.2,13.0,15.0
2013-03-19,4444.0,7.0,13.0
2013-03-20,4452.5,7.0,15.0
2013-03-21,4455.3,16.0,18.0
2013-03-22,4465.4,7.0,17.0
2013-03-23,4476.6,6.0,20.0
2013-03-24,4479.4,18.0,21.0
2013-03-25,4479.6,15.0,22.0
2013-03-26,4490.9,6.0,21.0
2013-03-27,4511.7,-1.0,20.0
2013-03-28,4531.9,-1.0,18.0
2013-03-29,4542.3,9.0,18.0
2013-03-30,4549.6,8.0,20.0
2013-03-31,4556.7,18.0,17.0
2013-04-01,4564.5,16.0,19.0
2013-04-02,4587.6,-4.0,17.0
2013-04-03,4611.0,-7.0,16.0
2013-04-04,4621.5,7.0,18.0
2013-04-05,4639.6,0.0,15.0
2013-04-06,4644.0,11.0,17.0
2013-04-07,4654.7,7.0,15.0
2013-04-08,4676.7,0.0,13.0
2013-04-09,4687.5,7.0,13.0
2013-04-10,4697.0,10.0,13.0
2013-04-11,4706.7,7.0,11.0
2013-04-12,4712.9,11.0,11.0
2013-04-13,4725.1,16.0,11.0
2013-04-14,4739.7,4.0,10.0
2013-04-15,4763.6,-15.0,4.0
2013-04-16,4776.9,5.0,5.0
2013-04-17,4787.2,4.0,6.0
2013-04-18,4803.7,-1.0,4.0
2013-04-19,4829.1,-9.0,5.0
2013-04-20,4843.6,-2.0,10.0
2013-04-21,4871.0,-8.0,10.0
2013-04-22,4893.8,-10.0,8.0
2013-04-23,4917.4,-13.0,9.0
2013-04-24,4932.1,0.0,7.0
2013-04-25,4956.2,-7.0,5.0
2013-04-26,4979.7,-11.0,3.0
2013-04-27,4981.3,16.0,8.0
2013-04-28,4996.4,1.0,10.0
2013-04-29,5025.3,-14.0,10.0
2013-04-30,5042.7,-3.0,10.0
2013-05-01,5066.4,-9.0,8.0
2013-05-02,5087.7,-4.0,7.0
2013-05-03,5111.7,-10.0,6.0
2013-05-04,5132.2,-9.0,4.0
2013-05-05,5149.7,0.0,7.0
2013-05-06,5174.0,-11.0,4.0
2013-05-07,5194.6,-6.0,2.0
2013-05-08,5207.8,0.0,3.0
2013-05-09,5217.9,6.0,4.0
2013-05-10,5239.5,-9.0,2.0
2013-05-11,5250.9,5.0,7.0
2013-05-12,5262.8,5.0,8.0
2013-05-13,5271.1,9.0,11.0
2013-05-14,5282.8,4.0,8.0
2013-05-15,5296.1,0.0,8.0
2013-05-16,5323.0,-10.0,8.0
2013-05-17,5326.7,14.0,9.0
2013-05-18,5329.7,10.0,10.0
2013-05-19,5341.5,-1.0,9.0
2013-05-20,5365.8,-8.0,6.0
2013-05-21,5370.0,13.0,8.0
2013-05-22,5372.4,11.0,7.0
2013-05-23,5384.0,6.0,15.0
2013-05-24,5403.9,-7.0,9.0
2013-05-25,5423.0,-4.0,12.0
2013-05-26,5441.7,0.0,10.0
2013-05-27,5458.7,0.0,7.0
2013-05-28,5487.9,18.0,5.0
2013-05-29,5502.4,-1.0,4.0
2013-05-30,5507.2,11.0,9.0
2013-05-31,5516.6,7.0,7.0
2013-06-01,5543.0,-14.0,4.0
2013-06-02,5559.5,2.0,6.0
2013-06-03,5588.7,-14.0,4.0
2013-06-04,5613.6,-12.0,6.0
2013-06-05,5640.5,-15.0,4.0
2013-06-06,5665.2,-10.0,12.0
2013-06-07,5689.7,-13.0,2.0
2013-06-08,5718.0,-17.0,1.0
2013-06-09,5747.3,-14.0,1.0
2013-06-10,5777.1,-15.0,1.0
2013-06-11,5802.2,-15.0,2.0
2013-06-12,5815.7,-2.0,2.0
2013-06-13,5828.5,1.0,2.0
2013-06-14,5836.8,7.0,2.0
2013-06-15,5861.2,-11.0,2.0
2013-06-16,5886.9,-9.0,3.0
2013-06-17,5902.0,-1.0,3.0
2013-06-18,5920.3,-8.0,1.0
2013-06-19,5938.0,-7.0,1.0
2013-06-20,5950.4,-1.0,1.0
2013-06-21,5968.9,-2.0,1.0
