,cum_power,Elec_kW,Gas_mxm
2013-06-22,5978.0,3.0,1.0
2013-06-23,5987.8,5.0,1.0
2013-06-24,6005.9,-3.0,3.0
2013-06-25,6013.4,5.0,5.0
2013-06-26,6035.4,-6.0,4.0
2013-06-27,6055.1,-7.0,3.0
2013-06-28,6072.0,-1.0,4.0
2013-06-29,6079.0,6.0,5.0
2013-06-30,6099.2,-5.0,4.0
2013-07-01,6122.0,-13.0,2.0
2013-07-02,6140.0,-6.0,1.0
2013-07-03,6156.2,-4.0,3.0
2013-07-04,6163.8,11.0,2.0
2013-07-05,6174.8,0.0,2.0
2013-07-06,6188.0,-1.0,1.0
2013-07-07,6211.9,-10.0,0.0
2013-07-08,6240.1,-18.0,0.0
2013-07-09,6266.9,-14.0,0.0
2013-07-10,6295.1,-18.0,0.0
2013-07-11,6314.7,-6.0,0.0
2013-07-12,6341.7,-12.0,0.0
2013-07-13,6354.3,-5.0,2.0
2013-07-14,6381.3,-12.0,1.0
2013-07-15,6401.4,-4.0,1.0
2013-07-16,6430.3,-22.0,0.0
2013-07-17,6454.0,-12.0,0.0
2013-07-18,6477.0,-11.0,0.0
2013-07-19,6503.5,-16.0,0.0
2013-07-20,6527.8,-14.0,0.0
2013-07-21,6545.6,-3.0,0.0
2013-07-22,6571.0,-16.0,0.0
2013-07-23,6594.2,-11.0,0.0
2013-07-24,6614.9,-11.0,0.0
2013-07-25,6641.0,-14.0,0.0
2013-07-26,6661.0,-9.0,0.0
2013-07-27,6678.4,-5.0,0.0
2013-07-28,6694.3,-4.0,0.0
2013-07-29,6717.8,-12.0,0.0
2013-07-30,6741.1,-13.0,0.0
2013-07-31,6749.0,5.0,0.0
2013-08-01,6766.7,-5.0,0.0
2013-08-02,6792.8,-16.0,0.0
2013-08-03,6814.0,-12.0,0.0
2013-08-04,6835.1,-10.0,0.0
2013-08-05,6859.8,-14.0,0.0
2013-08-06,6876.3,-6.0,0.0
2013-08-07,6888.9,2.0,0.0
2013-08-08,6891.6,12.0,1.0
2013-08-09,6910.6,-6.0,2.0
2013-08-10,6929.7,-7.0,1.0
2013-08-11,6944.0,-1.0,1.0
2013-08-12,6957.0,-4.0,1.0
2013-08-13,6970.7,0.0,2.0
2013-08-14,6995.0,-11.0,2.0
2013-08-15,7007.0,0.0,3.0
2013-08-16,7021.0,-4.0,2.0
2013-08-17,7035.7,-7.0,2.0
2013-08-18,7053.9,-5.0,1.0
2013-08-19,7070.0,-2.0,1.0
2013-08-20,7094.0,-11.0,1.0
2013-08-21,7110.0,-6.0,1.0
2013-08-22,7132.0,-10.0,2.0
2013-08-23,7140.0,3.0,1.0
2013-08-24,7162.0,-10.0,1.0
2013-08-25,7167.0,10.0,1.0
2013-08-26,7178.0,3.0,1.0
2013-08-27,7193.0,-5.0,1.0
2013-08-28,7214.0,-9.0,1.0
2013-08-29,7230.0,-5.0,1.0
2013-08-30,7252.0,-10.0,1.0
2013-08-31,7266.0,-1.0,1.0
2013-09-01,7286.0,-8.0,1.0
2013-09-02,7299.0,3.0,2.0
2013-09-03,7320.0,-9.0,2.0
2013-09-04,7332.0,0.0,1.0
2013-09-05,7352.0,-9.0,1.0
2013-09-06,7372.0,-7.0,1.0
2013-09-07,7383.0,-1.0,1.0
2013-09-08,7399.0,2.0,1.0
2013-09-09,7414.0,-3.0,1.0
2013-09-10,7420.0,3.0,3.0
2013-09-11,7430.0,8.0,6.0
2013-09-12,7437.0,7.0,6.0
2013-09-13,7447.0,5.0,4.0
2013-09-14,7452.0,8.0,6.0
2013-09-15,7458.0,2.0,4.0
2013-09-16,7468.0,7.0,5.0
2013-09-17,7485.0,0.0,5.0
2013-09-18,7492.0,7.0,7.0
2013-09-19,7497.0,9.0,9.0
2013-09-20,7504.0,7.0,6.0
2013-09-21,7514.0,5.0,7.0
2013-09-22,7527.0,6.0,5.0
2013-09-23,7533.0,9.0,4.0
2013-09-24,7543.0,3.0,3.0
2013-09-25,7559.0,-1.0,3.0
2013-09-26,7571.0,3.0,4.0
2013-09-27,7584.0,0.0,4.0
2013-09-28,7598.0,-3.0,8.0
2013-09-29,7610.0,3.0,7.0
2013-09-30,7625.0,2.0,6.0
2013-10-01,7640.0,-4.0,7.0
2013-10-02,7654.0,-1.0,6.0
2013-10-03,7670.0,0.0,4.0
2013-10-04,7680.0,4.0,5.0
2013-10-05,7688.0,8.0,4.0
2013-10-06,7692.0,13.0,4.0
2013-10-07,7701.0,6.0,4.0
2013-10-08,7711.0,2.0,6.0
2013-10-09,7719.0,6.0,5.0
2013-10-10,7725.0,9.0,6.0
2013-10-11,7732.0,10.0,10.0
2013-10-12,7735.0,11.0,10.0
2013-10-13,7746.0,7.0,10.0
2013-10-14,7747.0,16.0,13.0
2013-10-15,7749.0,13.0,10.0
2013-10-16,7752.0,13.0,11.0
2013-10-17,7756.0,15.0,10.0
2013-10-18,7767.0,5.0,9.0
2013-10-19,7776.0,7.0,8.0
2013-10-20,7778.0,11.0,6.0
2013-10-21,7783.0,15.0,6.0
2013-10-22,7788.0,11.0,5.0
2013-10-23,7795.0,8.0,4.0
2013-10-24,7800.0,11.0,5.0
2013-10-25,7809.0,9.0,8.0
2013-10-26,7813.0,10.0,6.0
2013-10-27,7819.0,12.0,5.0
2013-10-28,7822.0,15.0,6.0
2013-10-29,7826.0,12.0,8.0
2013-10-30,7833.0,7.0,19.0
2013-10-31,7838.0,10.0,10.0
2013-11-01,7844.0,13.0,14.0
2013-11-02,7849.0,11.0,10.0
2013-11-03,7850.0,14.0,9.0
2013-11-04,7856.0,12.0,11.0
2013-11-05,7858.0,14.0,12.0
2013-11-06,7860.0,14.0,15.0
2013-11-07,7861.0,15.0,11.0
2013-11-08,7863.0,16.0,9.0
2013-11-09,7866.0,14.0,11.0
2013-11-10,7869.0,8.0,13.0
2013-11-11,7874.0,9.0,15.0
2013-11-12,7878.0,6.0,13.0
2013-11-13,7880.0,16.0,14.0
2013-11-14,7884.0,11.0,20.0
2013-11-15,7886.0,18.0,13.0
2013-11-16,7891.0,10.0,14.0
2013-11-17,7893.0,11.0,14.0
2013-11-18,7894.0,19.0,15.0
2013-11-19,7896.0,14.0,13.0
2013-11-20,7897.0,15.0,17.0
2013-11-21,7899.0,17.0,18.0
2013-11-22,7903.0,15.0,17.0
2013-11-23,7904.0,14.0,17.0
2013-11-24,7906.0,21.0,17.0
2013-11-25,7908.0,18.0,14.0
2013-11-26,7912.0,12.0,14.0
2013-11-27,7914.0,17.0,14.0
2013-11-28,7918.0,13.0,14.0
2013-11-29,7919.0,17.0,14.0
2013-11-30,7920.0,21.0,15.0
2013-12-01,7922.0,17.0,14.0
2013-12-02,7927.0,13.0,14.0
2013-12-03,7931.0,10.0,14.0
2013-12-04,7936.0,13.0,18.0
2013-12-05,7937.0,18.0,17.0
2013-12-06,7938.0,16.0,18.0
2013-12-07,7943.0,12.0,18.0
2013-12-08,7945.0,16.0,17.0
2013-12-09,7947.0,18.0,14.0
2013-12-10,7952.0,11.0,14.0
2013-12-11,7957.0,11.0,16.0
2013-12-12,7962.0,11.0,18.0
2013-12-13,7965.0,10.0,19.0
2013-12-14,7970.0,15.0,19.0
2013-12-15,7975.0,9.0,17.0
2013-12-16,7977.0,17.0,15.0
2013-12-17,7981.0,11.0,13.0
2013-12-18,7982.0,14.0,12.0
2013-12-19,7986.0,13.0,14.0
2013-12-20,7990.0,11.0,13.0
2013-12-21,7995.0,11.0,15.0
2013-12-22,7997.0,20.0,15.0
2013-12-23,7998.0,19.0,15.0
2013-12-24,7999.8,16.0,15.0
2013-12-25,8000.0,19.0,14.0
2013-12-26,8002.0,14.0,13.0
2013-12-27,8006.0,11.0,16.0
2013-12-28,8007.0,16.0,15.0
2013-12-29,8010.0,17.0,14.0
2013-12-30,8014.0,14.0,15.0
2013-12-31,8016.0,10.0,15.0
2014-01-01,8018.0,20.0,16.0
2014-01-02,8021.0,12.0,14.0
2014-01-03,8023.0,18.0,13.0
2014-01-04,8026.0,9.0,14.0
2014-01-05,8027.0,10.0,12.0
2014-01-06,8029.0,17.0,15.0
2014-01-07,8031.0,15.0,12.0
2014-01-08,8034.0,10.0,11.0
2014-01-09,8037.0,14.0,12.0
2014-01-10,8038.0,14.0,14.0
2014-01-11,8041.0,11.0,14.0
2014-01-12,8046.0,14.0,16.0
2014-01-13,8052.0,10.0,16.0
2014-01-14,8057.0,10.0,13.0
2014-01-15,8058.0,17.0,16.0
2014-01-16,8059.0,18.0,17.0
2014-01-17,8060.0,13.0,14.0
2014-01-18,8062.0,16.0,14.0
2014-01-19,8064.0,16.0,13.0
2014-01-20,8067.0,15.0,13.0
2014-01-21,8068.0,14.0,13.0
2014-01-22,8070.0,16.0,15.0
2014-01-23,8075.0,13.0,16.0
2014-01-24,8076.0,15.0,16.0
2014-01-25,8082.0,10.0,16.0
2014-01-26,8084.0,18.0,18.0
2014-01-27,8087.0,16.0,18.0
2014-01-28,8088.0,16.0,18.0
2014-01-29,8090.0,14.0,20.0
2014-01-30,8094.0,15.0,18.0
2014-01-31,8097.0,12.0,17.0
2014-02-01,8101.0,12.0,17.0
2014-02-02,8104.0,20.0,12.0
2014-02-03,8109.0,11.0,19.0
2014-02-04,8117.0,11.0,16.0
2014-02-05,8122.0,8.0,14.0
2014-02-06,8126.0,16.0,16.0
2014-02-07,8129.0,15.0,13.0
2014-02-08,8130.0,15.0,17.0
2014-02-09,8132.0,20.0,16.0
2014-02-10,8135.0,8.0,17.0
2014-02-11,8137.0,12.0,15.0
2014-02-12,8141.0,16.0,17.0
2014-02-13,8147.0,12.0,17.0
2014-02-14,8149.0,14.0,16.0
2014-02-15,8151.0,14.0,14.0
2014-02-16,8157.0,11.0,15.0
2014-02-17,8167.0,8.0,15.0
2014-02-18,8175.0,9.0,13.0
2014-02-19,8177.0,12.0,14.0
2014-02-20,8182.0,10.0,14.0
2014-02-21,8183.0,13.0,14.0
2014-02-22,8193.0,5.0,13.0
2014-02-23,8200.0,11.0,15.0
2014-02-24,8211.0,5.0,7.0
2014-02-25,8220.0,5.0,12.0
2014-02-26,8226.0,6.0,11.0
2014-02-27,8236.0,9.0,14.0
2014-02-28,8238.0,12.0,15.0
2014-03-01,8242.0,9.0,14.0
2014-03-02,8245.0,12.0,15.0
2014-03-03,8254.0,9.0,15.0
2014-03-04,8261.0,11.0,14.0
2014-03-05,8267.0,7.0,14.0
2014-03-06,8280.0,2.0,14.0
2014-03-07,8295.0,3.0,13.0
2014-03-08,8302.0,12.0,12.0
2014-03-09,8316.0,1.0,10.0
2014-03-10,8331.0,0.0,8.0
2014-03-11,8344.0,-3.0,8.0
2014-03-12,8359.0,2.0,7.0
2014-03-13,8378.0,4.0,9.0
2014-03-14,8386.0,2.0,9.0
2014-03-15,8402.0,1.0,9.0
2014-03-16,8406.0,11.0,12.0
2014-03-17,8423.0,0.0,9.0
2014-03-18,8430.0,8.0,9.0
2014-03-19,8434.0,9.0,11.0
2014-03-20,8449.0,3.0,9.0
2014-03-21,8467.0,-1.0,6.0
2014-03-22,8479.0,3.0,10.0
2014-03-23,8492.0,4.0,12.0
2014-03-24,8505.0,3.0,14.0
2014-03-25,8516.0,5.0,13.0
2014-03-26,8531.0,2.0,12.0
2014-03-27,8544.0,3.0,14.0
2014-03-28,8554.0,6.0,13.0
2014-03-29,8572.0,-3.0,10.0
2014-03-30,8588.0,-4.0,7.0
2014-03-31,8599.0,7.0,6.0
2014-04-01,8612.0,2.0,5.0
2014-04-02,8631.0,-4.0,4.0
2014-04-03,8648.0,-6.0,4.0
2014-04-04,8658.0,8.0,3.0
2014-04-05,8663.0,9.0,5.0
2014-04-06,8685.0,-7.0,6.0
2014-04-07,8694.0,6.0,5.0
2014-04-08,8708.0,1.0,3.0
2014-04-09,8723.0,4.0,7.0
2014-04-10,8743.0,-2.0,10.0
2014-04-11,8763.0,-8.0,7.0
2014-04-12,8775.0,3.0,7.0
2014-04-13,8787.0,4.0,7.0
2014-04-14,8808.0,-4.0,7.0
2014-04-15,8828.0,-3.0,8.0
2014-04-16,8848.0,-4.0,9.0
2014-04-17,8874.0,-12.0,9.0
2014-04-18,8891.0,-4.0,9.0
2014-04-19,8909.0,-3.0,9.0
2014-04-20,8936.0,-10.0,7.0
2014-04-21,8947.0,4.0,5.0
2014-04-22,8959.0,1.0,5.0
2014-04-23,8976.0,-3.0,5.0
2014-04-24,9000.0,-13.0,3.0
2014-04-25,9013.0,2.0,4.0
2014-04-26,9035.0,-6.0,2.0
2014-04-27,9050.0,1.0,4.0
2014-04-28,9065.0,0.0,5.0
2014-04-29,9074.0,5.0,4.0
2014-04-30,9080.0,10.0,5.0
2014-05-01,9107.0,-10.0,5.0
2014-05-02,9125.0,-8.0,5.0
2014-05-03,9132.0,-6.0,7.0
2014-05-04,9152.0,6.0,8.0
2014-05-05,9173.0,-4.0,6.0
2014-05-06,9196.0,-12.0,6.0
2014-05-07,9210.0,5.0,5.0
2014-05-08,9226.0,0.0,5.0
2014-05-09,9232.0,10.0,8.0
2014-05-10,9250.0,-3.0,7.0
2014-05-11,9258.0,6.0,9.0
2014-05-12,9266.0,9.0,10.0
2014-05-13,9283.0,-3.0,8.0
2014-05-14,9306.0,-8.0,7.0
2014-05-15,9329.0,-6.0,8.0
2014-05-16,9356.0,-12.0,6.0
2014-05-17,9387.0,-19.0,4.0
2014-05-18,9415.0,-12.0,3.0
2014-05-19,9435.0,-19.0,1.0
2014-05-20,9455.0,-1.0,1.0
2014-05-21,9475.0,-1.0,1.0
2014-05-22,9495.0,-1.0,1.0
2014-05-23,9516.0,-1.0,1.0
2014-05-24,9538.0,-5.0,1.0
2014-05-25,9559.0,-7.0,1.0
2014-05-26,9580.0,-8.0,1.0
2014-05-27,9590.0,7.0,3.0
2014-05-28,9595.0,9.0,3.0
2014-05-29,9601.0,10.0,5.0
2014-05-30,9615.0,0.0,3.0
2014-05-31,9637.0,-3.0,3.0
2014-06-01,9654.0,-1.0,3.0
2014-06-02,9675.0,-10.0,3.0
2014-06-03,9703.0,-15.0,1.0
2014-06-04,9720.0,-3.0,2.0
2014-06-05,9732.0,4.0,3.0
2014-06-06,9757.0,4.0,4.0
2014-06-07,9788.0,-17.0,1.0
2014-06-08,9809.0,-10.0,1.0
2014-06-09,9836.0,-13.0,1.0
2014-06-10,9850.0,-2.0,1.0
2014-06-11,9862.0,0.0,1.0
2014-06-12,9894.0,-18.0,0.0
2014-06-13,9918.0,-11.0,0.0
2014-06-14,9945.0,-14.0,0.0
2014-06-15,9966.0,-8.0,0.0
2014-06-16,9986.0,-5.0,1.0
2014-06-17,9996.0,7.0,1.0
2014-06-18,10012.0,-7.0,1.0
2014-06-19,10028.0,0.0,2.0
2014-06-20,10042.0,-2.0,3.0
2014-06-21,10056.0,1.0,3.0
2014-06-22,10075.0,-5.0,1.0
2014-06-23,10102.0,-14.0,1.0
2014-06-24,10130.0,-14.0,1.0
2014-06-25,10157.0,-15.0,1.0
2014-06-26,10175.0,-2.0,1.0
2014-06-27,10198.0,-10.0,1.0
2014-06-28,10210.0,1.0,1.0
2014-06-29,10225.0,0.0,1.0
2014-06-30,10248.0,-1.0,1.0
2014-07-01,10274.0,-13.0,2.0
2014-07-02,10302.0,-8.0,1.0
2014-07-03,10328.0,-13.0,1.0
2014-07-04,10359.0,-18.0,0.0
2014-07-05,10374.0,-2.0,0.0
2014-07-06,10385.0,-3.0,0.0
2014-07-07,10395.0,4.0,0.0
2014-07-08,10412.0,-3.0,0.0
2014-07-09,10417.0,7.0,0.0
2014-07-10,10419.0,13.0,5.0
2014-07-11,10427.0,8.0,2.0
2014-07-12,10432.0,10.0,2.0
2014-07-13,10436.0,9.0,2.0
2014-07-14,10449.0,3.0,2.0
2014-07-15,10473.0,-8.0,1.0
2014-07-16,10487.0,-5.0,1.0
2014-07-17,10516.0,-16.0,0.0
2014-07-18,10541.0,-11.0,0.0
2014-07-19,10569.0,-15.0,0.0
2014-07-20,10583.0,-3.0,0.0
2014-07-21,10591.0,-1.0,0.0
2014-07-22,10603.0,8.0,0.0
2014-07-23,10630.0,-14.0,0.0
2014-07-24,10658.0,-16.0,0.0
2014-07-25,10680.0,-8.0,0.0
2014-07-26,10691.0,1.0,0.0
2014-07-27,10707.0,-5.0,0.0
2014-07-28,10723.0,-1.0,0.0
2014-07-29,10730.0,-1.0,0.0
2014-07-30,10752.0,-3.0,0.0
2014-07-31,10774.0,-12.0,0.0
2014-08-01,10800.0,-12.0,0.0
2014-08-02,10819.0,-7.0,0.0
2014-08-03,10841.0,-9.0,0.0
2014-08-04,10856.0,-5.0,0.0
2014-08-05,10876.0,-9.0,0.0
2014-08-06,10900.0,-10.0,0.0
2014-08-07,10906.0,6.0,0.0
2014-08-08,10922.0,-3.0,0.0
2014-08-09,10929.0,9.0,0.0
2014-08-10,10946.0,-2.0,0.0
2014-08-11,10958.0,1.0,0.0
2014-08-12,10980.0,-6.0,0.0
2014-08-13,11002.0,-11.0,0.0
2014-08-14,11022.0,-9.0,1.0
2014-08-15,11032.0,6.0,4.0
2014-08-16,11050.0,11.0,3.0
2014-08-17,11071.0,-5.0,2.0
2014-08-18,11079.0,8.0,3.0
2014-08-19,11090.0,-2.0,5.0
2014-08-20,11112.0,-11.0,5.0
2014-08-21,11125.0,5.0,6.0
2014-08-22,11137.0,3.0,5.0
2014-08-23,11148.0,5.0,5.0
2014-08-24,11170.0,-8.0,4.0
2014-08-25,11184.0,1.0,5.0
2014-08-26,11190.0,12.0,5.0
2014-08-27,11192.0,12.0,5.0
2014-08-28,11210.0,-2.0,3.0
2014-08-29,11218.0,7.0,3.0
2014-08-30,11232.0,-1.0,2.0
2014-08-31,11239.0,10.0,3.0
2014-09-01,11253.0,-3.0,3.0
2014-09-02,11268.0,0.0,3.0
2014-09-03,11284.0,1.0,2.0
2014-09-04,11306.0,-7.0,2.0
2014-09-05,11316.0,4.0,2.0
2014-09-06,11329.0,-2.0,1.0
2014-09-07,11333.0,11.0,1.0
2014-09-08,11349.0,-2.0,1.0
2014-09-09,11370.0,-9.0,1.0
2014-09-10,11384.0,2.0,4.0
2014-09-11,11397.0,1.0,4.0
2014-09-12,11412.0,4.0,3.0
2014-09-13,11430.0,-4.0,2.0
2014-09-14,11447.0,-8.0,3.0
2014-09-15,11460.0,2.0,3.0
2014-09-16,11472.0,3.0,2.0
2014-09-17,11489.0,-1.0,2.0
2014-09-18,11506.0,-4.0,2.0
2014-09-19,11519.0,2.0,1.0
2014-09-20,11532.0,1.0,1.0
2014-09-21,11543.0,4.0,1.0
2014-09-22,11556.0,1.0,1.0
2014-09-23,11566.0,2.0,3.0
2014-09-24,11576.0,4.0,5.0
2014-09-25,11583.0,11.0,6.0
2014-09-26,11597.0,-2.0,6.0
2014-09-27,11601.0,11.0,4.0
2014-09-28,11616.0,1.0,4.0
2014-09-29,11629.0,0.0,3.0
2014-09-30,11633.0,11.0,3.0
2014-10-01,11644.0,4.0,3.0
2014-10-02,11655.0,4.0,3.0
2014-10-03,11659.0,12.0,4.0
2014-10-04,11670.0,1.0,3.0
2014-10-05,11677.0,5.0,3.0
2014-10-06,11680.0,13.0,5.0
2014-10-07,11684.0,13.0,6.0
2014-10-08,11692.0,6.0,6.0
2014-10-09,11697.0,13.0,7.0
2014-10-10,11708.0,5.0,6.0
2014-10-11,11716.0,-3.0,5.0
2014-10-12,11721.0,11.0,7.0
2014-10-13,11729.0,8.0,5.0
2014-10-14,11733.0,13.0,5.0
2014-10-15,11737.0,15.0,8.0
2014-10-16,11744.0,10.0,7.0
2014-10-17,11751.0,8.0,6.0
2014-10-18,11759.0,5.0,5.0
2014-10-19,11770.0,5.0,3.0
2014-10-20,11775.0,12.0,2.0
2014-10-21,11785.0,4.0,4.0
2014-10-22,11787.0,12.0,8.0
2014-10-23,11790.0,13.0,10.0
2014-10-24,11795.0,12.0,9.0
2014-10-25,11797.0,15.0,8.0
2014-10-26,11803.0,9.0,7.0
2014-10-27,11807.0,12.0,8.0
2014-10-28,11815.0,7.0,6.0
2014-10-29,11823.0,8.0,8.0
2014-10-30,11824.0,16.0,10.0
2014-10-31,11829.0,12.0,5.0
2014-11-01,11838.0,6.0,6.0
2014-11-02,11845.0,7.0,6.0
2014-11-03,11850.0,7.0,7.0
2014-11-04,11853.0,11.0,7.0
2014-11-05,11856.0,13.0,9.0
2014-11-06,11859.0,15.0,12.0
2014-11-07,11861.0,14.0,11.0
2014-11-08,11865.0,13.0,11.0
2014-11-09,11871.0,11.0,11.0
2014-11-10,11875.0,13.0,10.0
2014-11-11,11880.0,8.0,10.0
2014-11-12,11887.0,10.0,11.0
2014-11-13,11891.0,10.0,9.0
2014-11-14,11896.0,9.0,12.0
2014-11-15,11897.0,15.0,10.0
2014-11-16,11899.0,14.0,11.0
2014-11-17,11900.0,16.0,11.0
2014-11-18,11903.0,13.0,11.0
2014-11-19,11905.0,17.0,10.0
2014-11-20,11905.0,15.0,11.0
2014-11-21,11910.0,12.0,12.0
2014-11-22,11915.0,11.0,13.0
2014-11-23,11920.0,15.0,12.0
2014-11-24,11923.0,7.0,10.0
2014-11-25,11927.0,16.0,11.0
2014-11-26,11930.0,11.0,14.0
2014-11-27,11931.0,16.0,13.0
2014-11-28,11933.0,14.0,11.0
2014-11-29,11935.0,12.0,11.0
2014-11-30,11939.0,15.0,15.0
2014-12-01,11939.0,16.0,16.0
2014-12-02,11939.0,17.0,16.0
2014-12-03,11940.0,16.0,16.0
2014-12-04,11940.0,17.0,19.0
2014-12-05,11941.0,17.0,18.0
2014-12-06,11942.0,14.0,16.0
2014-12-07,11946.0,14.0,15.0
2014-12-08,11947.0,19.0,19.0
2014-12-09,11948.0,18.0,18.0
2014-12-10,11951.0,17.0,17.0
2014-12-11,11956.0,13.0,15.0
2014-12-12,11957.0,17.0,17.0
2014-12-13,11957.0,16.0,15.0
2014-12-14,11959.0,19.0,16.0
2014-12-15,11963.0,13.0,17.0
2014-12-16,11965.0,12.0,18.0
2014-12-17,11966.0,15.0,15.0
2014-12-18,11967.0,18.0,16.0
2014-12-19,11967.0,19.0,12.0
2014-12-20,11967.0,17.0,13.0
2014-12-21,11970.0,13.0,15.0
2014-12-22,11971.0,16.0,17.0
2014-12-23,11971.0,18.0,13.0
2014-12-24,11972.0,17.0,13.0
2014-12-25,11973.0,14.0,13.0
2014-12-26,11974.0,15.0,16.0
2014-12-27,11977.0,16.0,15.0
2014-12-28,11977.0,18.0,20.0
2014-12-29,11977.0,11.0,22.0
2014-12-30,11979.0,19.0,20.0
2014-12-31,11981.0,20.0,18.0
2015-01-01,11984.0,12.0,19.0
2015-01-02,11987.0,15.0,19.0
2015-01-03,11993.0,14.0,17.0
2015-01-04,11998.0,7.0,16.0
2015-01-05,11998.0,8.0,16.0
2015-01-06,12001.0,15.0,21.0
2015-01-07,12003.0,17.0,18.0
2015-01-08,12006.0,15.0,16.0
2015-01-09,12006.0,18.0,19.0
2015-01-10,12007.0,18.0,15.0
2015-01-11,12008.0,17.0,15.0
2015-01-12,12011.0,14.0,16.0
2015-01-13,12011.0,17.0,17.0
2015-01-14,12012.0,18.0,14.0
2015-01-15,12015.0,16.0,18.0
2015-01-16,12016.0,17.0,17.0
2015-01-17,12021.0,11.0,15.0
2015-01-18,12026.0,14.0,18.0
2015-01-19,12028.0,14.0,19.0
2015-01-20,12029.0,10.0,17.0
2015-01-21,12031.0,15.0,18.0
2015-01-22,12034.0,17.0,20.0
2015-01-23,12035.0,16.0,21.0
2015-01-24,12037.0,19.0,21.0
2015-01-25,12041.0,12.0,21.0
2015-01-26,12043.0,15.0,20.0
2015-01-27,12044.0,15.0,17.0
2015-01-28,12049.0,16.0,16.0
2015-01-29,12050.0,13.0,20.0
2015-01-30,12053.0,17.0,20.0
2015-01-31,12056.0,15.0,21.0
2015-02-01,12060.0,14.0,19.0
2015-02-02,12062.0,18.0,20.0
2015-02-03,12065.0,14.0,21.0
2015-02-04,12070.0,16.0,20.0
2015-02-05,12077.0,13.0,20.0
2015-02-06,12081.0,14.0,21.0
